"ll_gissqft","ll_gisacre","landval","parval","usedesc","city"
30821,0.70753,20000,294090,"Residential","Dallas"
10288,0.23618,35000,127280,"Residential","Dallas"
8643,0.19841,40000,174820,"Residential","Dallas"
9591,0.22016,20000,209400,"Residential","Dallas"
6983,0.1603,38000,158500,"Residential","Dallas"
7202,0.16534,35000,149930,"Residential","Dallas"
8161,0.18735,35000,114250,"Residential","Dallas"
18626,0.4276,46500,134790,"Residential","Dallas"
11035,0.25331,40000,153250,"Residential","Dallas"
7498,0.17212,30000,99560,"Residential","Dallas"
8211,0.18851,35000,127180,"Residential","Dallas"
7142,0.16396,35000,159690,"Residential","Dallas"
12013,0.27577,60000,60000,"Commercial","Dallas"
2284,0.05244,100,100,"Residential","Dallas"
11603,0.26636,40000,164110,"Residential","Dallas"
7570,0.17377,38000,229110,"Residential","Dallas"
4646,0.10667,40000,115970,"Residential","Dallas"
4797,0.11013,28500,123260,"Residential","Dallas"
7799,0.17903,30000,147440,"Residential","Dallas"
12443,0.28565,28800,73090,"Residential","Dallas"
5998,0.13768,40000,249330,"Residential","Dallas"
21472,0.49292,52000,163070,"Residential","Dallas"
6002,0.1378,18000,129250,"Residential","Dallas"
9738,0.22354,45000,294500,"Residential","Dallas"
10956,0.25152,40000,162940,"Residential","Dallas"
9948,0.22838,49730,49730,"Commercial","Dallas"
17006,0.39039,102000,172000,"Commercial","Dallas"
15315,0.35158,40000,164280,"Residential","Dallas"
8553,0.19634,35000,190600,"Residential","Dallas"
9291,0.21329,18000,59600,"Residential","Dallas"
115393,2.64901,80000,375000,"Residential","Dallas"
7796,0.17896,40000,261600,"Residential","Dallas"
10388,0.23847,61160,231000,"Commercial","Dallas"
9583,0.21999,23950,64120,"Residential","Dallas"
7202,0.16534,40000,179100,"Residential","Dallas"
33111,0.76012,58500,125000,"Residential","Dallas"
9690,0.22244,38000,207700,"Residential","Dallas"
8085,0.18559,35000,90970,"Residential","Dallas"
4263,0.09787,30000,174720,"Residential","Dallas"
10131,0.23258,25320,117870,"Residential","Dallas"
9033,0.20737,54000,60010,"Residential","Dallas"
14814,0.34008,40000,155000,"Residential","Dallas"
10068,0.23114,40000,136190,"Residential","Dallas"
9957,0.22858,25000,146020,"Residential","Dallas"
7499,0.17214,30000,85000,"Residential","Dallas"
10504,0.24113,30000,149060,"Residential","Dallas"
7202,0.16534,40000,147340,"Residential","Dallas"
6250,0.14347,40000,269210,"Residential","Dallas"
6003,0.1378,36000,108350,"Residential","Dallas"
9291,0.21329,18000,59370,"Residential","Dallas"
11254,0.25834,40000,154750,"Residential","Dallas"
6877,0.15788,18000,74150,"Residential","Dallas"
2733,0.06273,50000,264070,"Residential","Dallas"
3431,0.07876,50000,331900,"Residential","Dallas"
9914,0.22758,30000,111240,"Residential","Dallas"
55568,1.27563,110860,721210,"Commercial","Dallas"
10203,0.23423,39000,166620,"Residential","Dallas"
17205,0.39497,16000,136280,"Residential","Dallas"
6752,0.155,25000,130990,"Residential","Dallas"
4001,0.09186,30000,166530,"Residential","Dallas"
6281,0.14419,10000,10000,"Residential","Dallas"
3486,0.08002,10000,102640,"Residential","Dallas"
10203,0.23423,39000,127680,"Residential","Dallas"
10008,0.22975,40000,282250,"Residential","Dallas"
6782,0.1557,40000,139020,"Residential","Dallas"
11321,0.25989,38000,205270,"Residential","Dallas"
7498,0.17214,30000,111380,"Residential","Dallas"
7363,0.16904,25000,86360,"Residential","Dallas"
8703,0.19979,39000,175490,"Residential","Dallas"
11827,0.27151,48000,174710,"Residential","Dallas"
8545,0.19615,30000,143940,"Residential","Dallas"
6361,0.14603,40000,195630,"Residential","Dallas"
28338,0.65054,80000,283630,"Residential","Dallas"
7473,0.17155,40000,40000,"Residential","Dallas"
7498,0.17214,30000,110560,"Residential","Dallas"
2553,0.05861,50000,351070,"Residential","Dallas"
14469,0.33217,40000,138410,"Residential","Dallas"
8072,0.1853,38000,248820,"Residential","Dallas"
10504,0.24113,30000,127980,"Residential","Dallas"
4002,0.09187,40000,166960,"Residential","Dallas"
4028,0.09247,40000,169520,"Residential","Dallas"
38084,0.87427,39000,164080,"Residential","Dallas"
6306,0.14476,40000,201090,"Residential","Dallas"
2553,0.05861,50000,328410,"Residential","Dallas"
9176,0.21066,40000,165650,"Residential","Dallas"
11782,0.27048,25000,125370,"Residential","Dallas"
20480,0.47016,31500,76170,"Residential","Dallas"
